Third Quarter 2017 Cost of Living,,,,,,,,
State,Rank,Index, Grocery,Housing,Utilities,Transportation,Heath ,Misc.
Mississippi,1,84.2,92.8,70.2,91.2,90.6,91,87.3
Arkansas,2,87.7,91.6,76.7,99.2,87.4,87.6,91.7
Michigan,3,89,90.4,78,91.6,103.2,94.3,91.9
Missouri,4,89.2,97.9,73.2,101.9,94,97.9,92.4
Oklahoma,5,89.3,94.2,73.7,98.8,87.8,93.6,97
Iowa,6,90,94,78.8,95.6,97.2,96.5,92.9
Tennessee,7,90.1,94,78.8,93.3,89.6,88.8,96.9
Alabama,8,90.2,96.6,72.5,109.5,89.2,86.2,96.8
Kansas,9,90.7,93.6,77.7,100.1,93.4,95.8,95.7
Georgia,10,91.1,98.9,75.4,97.9,94.8,96.4,96.9
Texas,11,91.6,91.2,84.3,101.7,93.8,96.2,93.6
Ohio,12,91.7,99.2,76.1,94.8,98.9,95.4,97.8
Nebraska,13,92.3,94,84.3,78.4,94.9,101,100.2
New Mexico,14,92.5,105.2,85.9,78.1,97.6,103.5,94.1
Indiana,15,92.5,94.4,78.2,94.4,98.4,97,100.4
Idaho,16,93.3,91.8,82,93,112.5,99.7,96.9
Kentucky,17,93.7,90.6,85.6,91.1,96.9,98.2,100.7
North Carolina,18,93.9,98.2,82,97.1,96.5,107.8,98.4
Louisiana,19,93.9,97.4,86.9,95.7,96.5,94.3,96.8
Wyoming,20,95.5,109.2,80.7,111.8,94.1,98.3,97.1
Wisconsin,21,95.6,96.9,87.9,100.7,99.4,112,96.9
South Dakota,22,95.7,99.5,94.4,92.7,95,103,95.5
Arizona,23,96,99,88.3,105.8,101.7,95.6,96.4
Illinois,24,96.6,94,89.6,96.7,103.5,100.7,100.9
Utah,25,96.7,101.1,93.6,80.1,107,100.3,98.8
West Virginia,26,96.8,101.8,87.4,89,101.7,93.4,103.4
South Carolina,27,98.4,104,86.8,110,90.3,101.5,103.9
Florida,28,98.9,104.7,97.1,99.7,98.6,95.7,98.4
Minnesota,29,99,105.9,87.7,87.9,103.6,112.3,105.6
North Dakota,30,99.9,105.5,94.8,83.6,107.6,112.4,103
Montana,31,101.2,99.7,107.8,77,98.7,104.6,103.9
Pennsylvania,32,101.5,104.6,98.2,110.4,106.7,91.7,100.1
Virginia,33,101.9,96.1,111.6,100.5,89.5,99.9,100.7
Delaware,34,103.5,109.4,99.8,91.1,99.9,97,109.4
Colorado,35,104,98.8,120.7,78.1,104.8,102.1,100.4
Nevada,36,106.6,104.1,109.1,86.1,114.1,107.7,109.2
Washington,37,107.6,106.4,110.6,92.7,119.9,117.4,105.7
Maine,38,113.5,101.4,123.5,119.3,107.9,107.2,110.9
New Hampshire,39,113.7,111.8,110.2,130.4,105.7,115.3,114.3
Vermont,40,120.2,110.7,147.1,120.5,108.3,105.8,107.6
New Jersey,41,120.5,107.7,148.1,113.4,109.1,105.6,110.6
Rhode Island,42,123,113,136.6,127.1,105.9,109.8,121.3
Connecticut,43,124.9,106.6,154.9,104,111.7,113.4,119.4
Oregon,44,125.7,110.9,176.5,76.8,115.1,105.6,110.7
Massachusetts,45,127.3,108,164.3,115.9,106.6,119.4,115.5
Maryland,46,128.4,110.1,181.1,105.3,105.1,92.4,111.1
Alaska,47,131.9,134.7,140.7,144.9,129,147.2,119.1
New York,48,134.1,111.3,195.1,106.1,112,103.1,112.7
California,49,140.5,118.5,209,112,127.6,110.5,110.3
District of Columbia,50,157.4,111.8,261.4,115.2,107.9,101.5,125.3
Hawaii,51,188.4,165.5,302.8,196.4,138.9,114.1,127.2
US Average,100,100,100,100,100,100,100,
