State,Population_2007,Population_2017,Unemployment_2017,Cost_of_living_2017,Homeless_2007,Homeless_2017
AL,"4,672,840",4874747.0,3.5,90.2,5452.0,3793.0
AK,"680,300",739795.0,7.2,131.9,1642.0,1845.0
AZ,"6,167,681",7016270.0,4.3,96.0,14646.0,8947.0
AR,"2,848,650",3004279.0,3.7,87.7,3836.0,2467.0
CA,"36,250,311",39536653.0,4.6,140.5,138986.0,134278.0
CO,"4,803,868",5607154.0,2.9,104.0,14225.0,10940.0
CT,"3,527,270",3588184.0,4.6,124.9,4482.0,3388.0
DE,"871,749",961939.0,4.7,103.5,1061.0,994.0
DC,"574,404",693972.0,6.4,157.4,5320.0,7473.0
FL,"18,367,842",20984400.0,3.6,98.9,48069.0,32190.0
GA,"9,349,988",10429379.0,4.3,91.1,19639.0,10174.0
HI,"1,315,675",1427538.0,2.0,188.4,6070.0,7220.0
ID,"1,505,105",1716943.0,2.9,93.3,1749.0,2037.0
IL,"12,695,866",12802023.0,4.9,96.6,15487.0,10798.0
IN,"6,379,599",6666818.0,3.7,92.5,7358.0,5438.0
IA,"2,999,212",3145711.0,2.9,90.0,2734.0,2756.0
KS,"2,783,785",2913123.0,3.5,90.7,1924.0,2098.0
KY,"4,256,672",4454189.0,4.7,93.7,8061.0,4025.0
LA,"4,375,581",4684333.0,4.7,93.9,5494.0,3305.0
ME,"1,327,040",1335907.0,3.3,113.5,2638.0,2280.0
MD,"5,653,408",6052177.0,3.9,128.4,9628.0,7247.0
MA,"6,431,559",6859819.0,3.6,127.3,15127.0,17565.0
MI,"10,001,284",9962311.0,4.6,89.0,28295.0,9051.0
MN,"5,207,203",5576606.0,3.1,99.0,7323.0,7668.0
MS,"2,928,350",2984100.0,4.8,84.2,1377.0,1472.0
MO,"5,887,612",6113532.0,3.4,89.2,6434.0,6226.0
MT,"964,706",1050493.0,4.0,101.2,1150.0,1529.0
NE,"1,783,440",1920076.0,2.7,92.3,3531.0,2501.0
NV,"2,601,072",2998039.0,5.0,106.6,8642.0,7833.0
NH,"1,312,540",1342795.0,2.7,113.7,2248.0,1456.0
NJ,"8,677,885",9005644.0,5.1,120.5,17314.0,8536.0
NM,"1,990,070",2088070.0,6.1,92.5,3015.0,2482.0
NY,"19,132,335",19849399.0,4.7,134.1,62601.0,89503.0
NC,"9,118,037",10273419.0,4.3,93.9,11802.0,8962.0
ND,"652,822",755393.0,2.6,99.9,636.0,1089.0
OH,"11,500,468",11658609.0,4.8,91.7,11264.0,10095.0
OK,"3,634,349",3930864.0,4.2,89.3,4221.0,4199.0
OR,"3,722,417",4142776.0,4.2,125.7,17590.0,13953.0
PA,"12,563,937",12805537.0,4.6,101.5,16220.0,14138.0
RI,"1,057,315",1059639.0,4.3,123.0,1372.0,1180.0
SC,"4,444,110",5024369.0,4.0,98.4,5660.0,3916.0
SD,"791,623",869666.0,3.5,95.7,579.0,943.0
TN,"6,175,727",6715984.0,3.1,90.1,11210.0,8309.0
TX,"23,831,983",28304596.0,3.8,91.6,39788.0,23548.0
UT,"2,597,746",3101833.0,3.2,96.7,3011.0,2852.0
VT,"623,481",623657.0,2.9,120.2,1035.0,1225.0
VA,"7,751,000",8470020.0,3.7,101.9,9746.0,6067.0
WA,"6,461,587",7405743.0,4.5,107.6,23379.0,21112.0
WV,"1,834,052",1815857.0,5.3,96.8,2409.0,1309.0
WI,"5,610,775",5795483.0,3.2,95.6,5648.0,5027.0
WY,"534,876",579315.0,4.3,95.5,537.0,873.0
GU,,,,,725.0,852.0
MP,,,,,,672.0
PR,,,,,4309.0,3525.0
VI,,,,,559.0,381.0
