table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts)													
"Table 1. Intercensal Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2000 to July 1, 2010"													
Geographic Area	"April 1, 20001"	Intercensal Estimates (as of July 1)										"April 1, 20102"	"July 1, 20103"
		2000	2001	2002	2003	2004	2005	2006	2007	2008	2009		
United States	281424600.0	282162411.0	284968955.0	287625193.0	290107933.0	292805298.0	295516599.0	298379912.0	301231207.0	304093966.0	306771529.0	308745538.0	309349689.0
Northeast	53594810.0	53666295.0	53915522.0	54143915.0	54334453.0	54423533.0	54451230.0	54522659.0	54653362.0	54875926.0	55133101.0	55317240.0	55361036.0
Midwest	64396653.0	64491431.0	64776531.0	65018293.0	65276954.0	65532305.0	65751872.0	66028555.0	66293689.0	66523935.0	66748437.0	66927001.0	66975848.0
South	100234523.0	100565549.0	101849575.0	103150787.0	104380188.0	105883977.0	107479771.0	109076933.0	110688742.0	112184930.0	113548615.0	114555744.0	114865724.0
West	63198614.0	63439136.0	64427327.0	65312198.0	66116338.0	66965483.0	67833726.0	68751765.0	69595414.0	70509175.0	71341376.0	71945553.0	72147081.0
Alabama	4447207.0	4452173.0	4467634.0	4480089.0	4503491.0	4530729.0	4569805.0	4628981.0	4672840.0	4718206.0	4757938.0	4779736.0	4785298.0
Alaska	626933.0	627963.0	633714.0	642337.0	648414.0	659286.0	666946.0	675302.0	680300.0	687455.0	698895.0	710231.0	713985.0
Arizona	5130247.0	5160586.0	5273477.0	5396255.0	5510364.0	5652404.0	5839077.0	6029141.0	6167681.0	6280362.0	6343154.0	6392017.0	6413737.0
Arkansas	2673293.0	2678588.0	2691571.0	2705927.0	2724816.0	2749686.0	2781097.0	2821761.0	2848650.0	2874554.0	2896843.0	2915918.0	2921606.0
California	33871653.0	33987977.0	34479458.0	34871843.0	35253159.0	35574576.0	35827943.0	36021202.0	36250311.0	36604337.0	36961229.0	37253956.0	37349363.0
Colorado	4302086.0	4326921.0	4425687.0	4490406.0	4528732.0	4575013.0	4631888.0	4720423.0	4803868.0	4889730.0	4972195.0	5029196.0	5049071.0
Connecticut	3405650.0	3411777.0	3432835.0	3458749.0	3484336.0	3496094.0	3506956.0	3517460.0	3527270.0	3545579.0	3561807.0	3574097.0	3577073.0
Delaware	783559.0	786373.0	795699.0	806169.0	818003.0	830803.0	845150.0	859268.0	871749.0	883874.0	891730.0	897934.0	899769.0
