State,November 2017(P),Rank
,rate,
Hawaii,2,1
North Dakota,2.6,2
Nebraska,2.7,3
New Hampshire,2.7,3
Colorado,2.9,5
Idaho,2.9,5
Iowa,2.9,5
Vermont,2.9,5
Minnesota,3.1,9
Tennessee,3.1,9
Utah,3.2,11
Wisconsin,3.2,11
Maine,3.3,13
Missouri,3.4,14
Alabama,3.5,15
Kansas,3.5,15
South Dakota,3.5,15
Florida,3.6,18
Massachusetts,3.6,18
Arkansas,3.7,20
Indiana,3.7,20
Virginia,3.7,20
Texas,3.8,23
Maryland,3.9,24
Montana,4,25
South Carolina,4,25
Oklahoma,4.2,27
Oregon,4.2,27
Arizona,4.3,29
Georgia,4.3,29
North Carolina,4.3,29
Rhode Island,4.3,29
Wyoming,4.3,29
Washington,4.5,34
California,4.6,35
Connecticut,4.6,35
Michigan,4.6,35
Pennsylvania,4.6,35
Delaware,4.7,39
Kentucky,4.7,39
Louisiana,4.7,39
New York,4.7,39
Mississippi,4.8,43
Ohio,4.8,43
Illinois,4.9,45
Nevada,5,46
New Jersey,5.1,47
West Virginia,5.3,48
New Mexico,6.1,49
District of Columbia,6.4,50
Alaska,7.2,51
