City,Date,RegionName,County,State,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,ZHVI_AllHomes,ZHVI_SingleFamilyResidence
New York,2007-01-31,new_yorkqueensny,Queens,NY,386.8288,325.8641,477220.0,386.0,518800.0,532600.0
New York,2007-02-28,new_yorkqueensny,Queens,NY,392.0199,324.3134,473579.0,385.0,515800.0,530200.0
New York,2007-03-31,new_yorkqueensny,Queens,NY,401.2203,322.069,478744.0,385.0,516200.0,528200.0
New York,2007-04-30,new_yorkqueensny,Queens,NY,419.661,328.8118,495497.1,385.0,516200.0,526300.0
New York,2007-05-31,new_yorkqueensny,Queens,NY,449.561,329.5494,515855.9,383.0,515500.0,524600.0
New York,2007-06-30,new_yorkqueensny,Queens,NY,452.9427,333.8735,531150.0,380.0,512200.0,522400.0
New York,2007-07-31,new_yorkqueensny,Queens,NY,476.1741,330.8305,550055.0,378.0,509300.0,520200.0
New York,2007-08-31,new_yorkqueensny,Queens,NY,469.8995,333.8789,552038.5,378.0,510100.0,518500.0
New York,2007-09-30,new_yorkqueensny,Queens,NY,455.3382,334.4008,543741.5,378.0,511800.0,517200.0
New York,2007-10-31,new_yorkqueensny,Queens,NY,439.6872,333.221,529375.0,379.0,512800.0,516300.0
New York,2007-11-30,new_yorkqueensny,Queens,NY,429.8074,328.6494,519750.0,380.0,514300.0,515700.0
New York,2007-12-31,new_yorkqueensny,Queens,NY,430.6425,328.3215,515750.0,379.0,513500.0,514500.0
New York,2008-01-31,new_yorkqueensny,Queens,NY,429.63,319.7207,507500.0,377.0,510300.0,512600.0
New York,2008-02-29,new_yorkqueensny,Queens,NY,449.5037,319.768,511250.0,376.0,507600.0,510300.0
New York,2008-03-31,new_yorkqueensny,Queens,NY,504.9135,317.9565,536300.0,376.0,506400.0,508100.0
New York,2008-04-30,new_yorkqueensny,Queens,NY,514.3089,315.4814,548700.0,376.0,505100.0,506000.0
New York,2008-05-31,new_yorkqueensny,Queens,NY,508.2186,319.1216,556500.0,376.0,503700.0,503800.0
New York,2008-06-30,new_yorkqueensny,Queens,NY,498.3366,317.6537,558500.0,374.0,503000.0,500400.0
New York,2008-07-31,new_yorkqueensny,Queens,NY,539.2994,312.5104,581000.0,372.0,502600.0,496000.0
New York,2008-08-31,new_yorkqueensny,Queens,NY,591.0305,310.711,604700.0,370.0,500800.0,491600.0
New York,2008-09-30,new_yorkqueensny,Queens,NY,598.8375,309.5623,592300.0,367.0,496700.0,487000.0
New York,2008-10-31,new_yorkqueensny,Queens,NY,564.0151,308.6591,567500.0,364.0,492000.0,481600.0
New York,2008-11-30,new_yorkqueensny,Queens,NY,517.6462,299.7545,548000.0,360.0,487700.0,475600.0
New York,2008-12-31,new_yorkqueensny,Queens,NY,503.2442,300.0776,548973.0,358.0,484500.0,471200.0
New York,2009-01-31,new_yorkqueensny,Queens,NY,452.0986,300.8512,536731.1,357.0,481400.0,468800.0
New York,2009-02-28,new_yorkqueensny,Queens,NY,420.9917,295.7507,516291.4,356.0,477300.0,466200.0
